Group Code As Per Xcube,Group Name as per Xcube,Site Code As Per Xcube,Site Name As Per Xcube,Billing Name As Per Tally,Region,zone,state,Party State,GSTIN/UIN,Costcentre,Address,site_code_no
GROUP16,The Jammu and Kashmir Bank Limited,SITE1279,The Jammu and Kashmir Bank Ltd. Amboli Guest House,The Jammu and Kashmir Bank Ltd.,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,1279
GROUP16,The Jammu and Kashmir Bank Limited,SITE934,The Jammu And Kashmir Bank Limited Maharashtra (Bkc Branch),The Jammu and Kashmir Bank Ltd.,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,934
GROUP16,The Jammu and Kashmir Bank Limited,SITE1278,The Jammu and Kashmir Bank Ltd. Bandra-RCC,The Jammu and Kashmir Bank Ltd.,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,1278
GROUP82,ICICI Lombard,SITE1032,ICICI Lombard (Malad),ICICI Lombard -,Mumbai,1,1,Maharashtra,27AAACI7904G2ZM,Icici Lombard - New,#N/A,1032
GROUP16,The Jammu and Kashmir Bank Limited,SITE931,The Jammu And Kashmir Bank Limited Maharashtra (Andheri Mumbai),The Jammu and Kashmir Bank Ltd.,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,931
GROUP16,The Jammu and Kashmir Bank Limited,SITE937,The Jammu And Kashmir Bank Limited Maharashtra (Mahim Mumbai),The Jammu and Kashmir Bank Ltd. -Mahim,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,937
GROUP16,The Jammu and Kashmir Bank Limited,SITE936,The Jammu And Kashmir Bank Limited Maharashtra (Kalbadevi Mumbai),The Jammu and Kashmir Bank Ltd.  Kalbadevi,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,936
GROUP16,The Jammu and Kashmir Bank Limited,SITE939,The Jammu And Kashmir Bank Limited Maharashtra (Mohd Ali Road Mumbai),The Jammu and Kashmir Bank Ltd. -M .A.Road,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,939
GROUP16,The Jammu and Kashmir Bank Limited,SITE938,The Jammu And Kashmir Bank Limited Maharashtra (Mira Road Mumbai),The Jammu and Kashmir Bank Ltd. -Mira Road,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,938
GROUP16,The Jammu and Kashmir Bank Limited,SITE935,The Jammu And Kashmir Bank Limited Maharashtra (Fort  Mumbai),The Jammu and Kashmir Bank Ltd.,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,935
GROUP16,The Jammu and Kashmir Bank Limited,SITE932,The Jammu And Kashmir Bank Limited Maharashtra (Aurangabad),The Jammu and Kashmir Bank Ltd. -Aurangabad,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,932
GROUP16,The Jammu and Kashmir Bank Limited,SITE940,The Jammu And Kashmir Bank Limited Maharashtra (Nagpur),The Jammu and Kashmir Bank Ltd. -Nagpur,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,940
GROUP16,The Jammu and Kashmir Bank Limited,SITE1277,The Jammu and Kashmir Bank Ltd. -Shirdi,The Jammu and Kashmir Bank Ltd. -Shirdi,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,"J&K Bank Shirdi,Ground Floor,The Temple View Hotel,169/25 Opposite Sai Baba Temple,Manmad Highway,Shirdi,Ahmadnagar,Maharashtra-423109.",1277
GROUP16,The Jammu and Kashmir Bank Limited,SITE944,The Jammu And Kashmir Bank Limited Maharashtra (Vashi Mumbai),The Jammu and Kashmir Bank Ltd. -Vashi,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,944
GROUP16,The Jammu and Kashmir Bank Limited,SITE933,The Jammu and Kashmir Bank Ltd. -Bandra west,The Jammu and Kashmir Bank Ltd. -Bandra west,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,933
GROUP16,The Jammu and Kashmir Bank Limited,SITE945,The Jammu And Kashmir Bank Limited Maharashtra (Versova Mumbai),The Jammu and Kashmir Bank Ltd. -Versova,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,945
GROUP108,Trent Groups,SITE1320,Trent Hypermarket Private Limited,Trent Hypermarket Private Limited,Mumbai,1,1,Maharashtra,27AACCT9803D1ZE,Star Marker/Tata Trent - New,#N/A,1320
GROUP60,Suparshwa Urbana,SITE1243,Suparshwa Urbana,Suparshwa Urbana,Mumbai,1,1,Maharashtra,27ABUFS1154N1ZG,Suparshwa Urbana- New,#N/A,1243
